Point1,Point2,ActualCost
A,C,4.716297900000001
B,C,27.2830224
B,A,28.2340586
C,A,1.3866787
A,B,3.1607528
C,B,1.3540031000000001
A,C,5.649567
B,C,27.4686404
B,A,27.5428646
C,A,1.4023413
A,B,2.5619821
C,B,1.3466803
A,C,5.6140313
B,C,27.4603352
B,A,27.562485499999998
C,A,1.3425051
A,B,3.4914553
C,B,1.4010158000000001
A,C,6.242803
B,C,27.474781099999998
B,A,27.416879
C,A,1.4061066999999998
A,B,2.5106226
C,B,1.4186649
A,C,5.7395988
B,C,27.848392699999998
B,A,28.4161793
C,A,1.3453293
A,B,2.9766596
C,B,1.4054966
A,C,5.1540789
B,C,27.5648551
B,A,27.200981800000005
C,A,1.3335209
A,B,3.1471966
C,B,1.4154168
A,C,6.0784654
B,C,28.433123600000002
B,A,26.8528851
C,A,1.347358
A,B,3.1628162
C,B,1.3569553
A,C,5.2317498
B,C,27.3017881
B,A,27.9534601
C,A,1.3495703000000001
A,B,2.7446988
C,B,1.3974296
A,C,5.1336741
B,C,27.3920733
B,A,26.892106199999997
C,A,1.3567543
A,B,2.8351506
C,B,1.3451777
A,C,10.4092181
B,C,27.9214386
B,A,27.0057872
C,A,1.3554133999999998
A,B,3.5343349
C,B,1.4124839
A,C,10.2589367
B,C,28.6449182
B,A,27.430811600000006
C,A,1.3353549
A,B,3.4312125
C,B,1.3507097
A,C,14.4763546
B,C,27.5544617
B,A,26.9843234
C,A,1.3557843
A,B,2.6924847
C,B,1.3994008
A,C,8.9615269
B,C,27.6878341
B,A,28.069772
C,A,1.4109238000000002
A,B,2.9604294
C,B,1.4041407
A,C,6.1650241999999995
B,C,27.485827
B,A,27.866930800000002
C,A,1.4057481
A,B,2.9479311000000004
C,B,1.4168938
A,C,7.5937926
B,C,27.4070464
B,A,27.6927581
C,A,1.4067024
A,B,3.0730551
C,B,1.3593211
A,C,6.8158054
B,C,27.588894699999997
B,A,28.332051500000002
C,A,1.4148155
A,B,2.2622767999999995
C,B,1.3605724
A,C,7.8843294
B,C,27.8114941
B,A,27.7784451
C,A,1.4089235
A,B,2.8807597
C,B,1.3991746
A,C,8.874448800000001
B,C,28.1906462
B,A,28.602463699999998
C,A,1.4251127
A,B,3.0505449
C,B,1.4252235
A,C,6.5676038
B,C,28.1482227
B,A,27.837326
C,A,1.4113357
A,B,2.8470626
C,B,1.3543173000000002
A,C,6.633617599999999
B,C,27.453442
B,A,28.0480765
C,A,1.4855516000000002
A,B,2.9986409
C,B,1.3972285
A,C,9.8502751
B,C,27.4737553
B,A,27.8931811
C,A,1.3561423000000001
A,B,2.8484428
C,B,1.6831650000000002
A,C,11.1994302
B,C,27.4519234
B,A,27.355311100000005
C,A,1.3539573
A,B,2.6187129000000002
C,B,1.3511626
A,C,5.5967979
B,C,28.1149812
B,A,27.1540977
C,A,1.4223494
A,B,3.0509652999999997
C,B,1.3436728
A,C,6.0428992
B,C,27.4502842
B,A,27.419363899999997
C,A,1.424667
A,B,3.1169416
C,B,1.3627152
A,C,8.482840800000002
B,C,27.795356899999994
B,A,28.3050224
C,A,1.4071159
A,B,3.7518803
C,B,1.3552581
A,C,22.6421423
B,C,27.4875292
B,A,27.435436699999997
C,A,1.3451174
A,B,3.6203901
C,B,1.3425007
A,C,8.217841900000002
B,C,27.583422100000003
B,A,28.116073
C,A,1.3361772
A,B,3.4826694
C,B,1.4028121999999998
A,C,6.032115599999999
B,C,27.429278600000004
B,A,28.0088439
C,A,1.6073283999999999
A,B,4.503939900000001
C,B,1.4272968
A,C,10.357871699999999
B,C,28.143376300000003
B,A,26.9523777
C,A,1.3926983
A,B,3.4935163
C,B,1.4622389
A,C,7.5008543
B,C,27.6888039
B,A,29.5014431
C,A,1.3457477
A,B,3.6074439
C,B,1.3374281000000001
A,C,14.4894326
B,C,27.618742100000002
B,A,27.9632727
C,A,1.3511752000000001
A,B,3.2694104
C,B,1.420009
A,C,10.7378768
B,C,27.442913899999997
B,A,27.5278005
C,A,1.3587831
A,B,3.5461278
C,B,1.4204864
A,C,7.082874
B,C,27.215034399999997
B,A,27.885747
C,A,1.4801596000000001
A,B,2.8717171
C,B,1.4013434
A,C,5.59165
B,C,27.2635846
B,A,27.5037997
C,A,1.6187017
A,B,3.1026288
C,B,1.4782608
A,C,6.1639712
B,C,28.4581706
B,A,28.3836414
C,A,1.4236567
A,B,3.8425762999999997
C,B,1.3440391
A,C,10.1475285
B,C,27.5568578
B,A,27.3221107
C,A,1.3436489
A,B,3.6920476000000004
C,B,1.4149893
A,C,12.6525517
B,C,29.4003803
B,A,27.9459432
C,A,1.4158425
A,B,2.7861964
C,B,1.3475069
A,C,6.1662312
B,C,27.7747587
B,A,27.3597167
C,A,1.4052875
A,B,3.9926212999999997
