Point1,Point2,Heuristics
A,C,5.6189871
B,C,4.362038
B,A,3.1009587000000005
C,A,0.15884520000000002
A,B,1.7761572
C,B,0.1560164
A,C,11.4162865
B,C,3.1167816000000004
B,A,3.1476862
C,A,0.1545069
A,B,1.7801877
C,B,0.154636
A,C,8.6540413
B,C,3.1135968
B,A,3.0665096000000003
C,A,0.15656760000000003
A,B,1.7708577
C,B,0.1561483
A,C,10.9057125
B,C,3.2530576
B,A,3.1251726000000004
C,A,0.15932639999999998
A,B,1.8194043000000002
C,B,0.16067160000000003
A,C,20.908566600000004
B,C,3.1076471
B,A,3.0509060000000003
C,A,0.1526116
A,B,1.7990515
C,B,0.1576866
A,C,23.5728747
B,C,3.0595471
B,A,3.0590804
C,A,0.156255
A,B,1.7709087
C,B,0.1615876
A,C,13.361471400000001
B,C,3.0628152
B,A,3.0423606
C,A,0.1562432
A,B,1.7982003
C,B,0.1547158
A,C,6.295966
B,C,3.1713777000000003
B,A,3.0387815
C,A,0.15607479999999999
A,B,1.7933945
C,B,0.15221289999999998
A,C,18.089658399999998
B,C,3.1066312999999997
B,A,3.0264549
C,A,0.1556721
A,B,1.7957275
C,B,0.1533641
A,C,8.1674101
B,C,3.1649521000000003
B,A,3.0259582999999997
C,A,0.15974860000000002
A,B,1.7958009999999998
C,B,0.15258429999999998
A,C,8.3845951
B,C,3.1434995
B,A,3.0822482000000004
C,A,0.1558724
A,B,1.7978453
C,B,0.15460320000000002
A,C,8.5357272
B,C,3.1854155
B,A,3.1129024
C,A,0.1573944
A,B,1.7739665
C,B,0.15765929999999997
A,C,15.815731900000001
B,C,3.1184084999999997
B,A,3.1068356
C,A,0.1610373
A,B,1.7723436000000001
C,B,0.1527737
A,C,6.653586200000001
B,C,3.1829985
B,A,3.1376712
C,A,0.1517542
A,B,1.7706306
C,B,0.1552858
A,C,4.7230737
B,C,3.1094997
B,A,3.1476728
C,A,0.1572928
A,B,1.7714404
C,B,0.1531313
A,C,4.386695700000001
B,C,3.1038528
B,A,3.0369946
C,A,0.1527941
A,B,1.8314605
C,B,0.1525285
A,C,4.3570614999999995
B,C,3.0376625
B,A,3.0859913
C,A,0.159142
A,B,1.7698067
C,B,0.1550872
A,C,4.3711696
B,C,3.1246551
B,A,3.0463439
C,A,0.15598710000000002
A,B,1.7939006999999998
C,B,0.1560343
A,C,4.3265404
B,C,3.1305699000000002
B,A,3.055968
C,A,0.1597551
A,B,1.7963158
C,B,0.1549652
A,C,4.187423399999999
B,C,3.1399456000000003
B,A,3.1064213
C,A,0.1526828
A,B,1.8002375
C,B,0.1527197
A,C,5.4763983
B,C,3.1759008
B,A,3.1364566
C,A,0.1530122
A,B,1.7892105
C,B,0.1614194
A,C,4.4528137999999995
B,C,3.0603369
B,A,3.0388972
C,A,0.1561538
A,B,1.7934818
C,B,0.1556534
A,C,6.836963900000001
B,C,3.1442142000000004
B,A,3.0471142
C,A,0.1529364
A,B,1.7948648
C,B,0.15751010000000001
A,C,5.8106481
B,C,3.1214793
B,A,3.1334442
C,A,0.1607377
A,B,1.7718787
C,B,0.1527088
A,C,5.1463592
B,C,3.0621917
B,A,3.0420057999999996
C,A,0.1601901
A,B,1.8198626
C,B,0.1558057
A,C,4.797407700000001
B,C,3.1635767
B,A,3.0822862
C,A,0.1567943
A,B,1.8086186999999998
C,B,0.1567164
A,C,6.2865966
B,C,3.1671146
B,A,3.1467326
C,A,0.1532022
A,B,1.7991743000000002
C,B,0.1573507
A,C,5.0170364
B,C,3.2391784
B,A,3.175733
C,A,0.1542134
A,B,1.7726715
C,B,0.1579587
A,C,5.7859856
B,C,3.2065147
B,A,3.1894044
C,A,0.15434879999999998
A,B,1.8110245999999999
C,B,0.1642767
A,C,4.656441
B,C,3.0721947999999997
B,A,3.116458
C,A,0.1577257
A,B,1.7733898
C,B,0.15725350000000002
A,C,5.7366055000000005
B,C,3.0836843
B,A,3.0682621
C,A,0.15516660000000002
A,B,1.7726144
C,B,0.15466870000000002
A,C,7.2449608
B,C,3.1007612
B,A,3.1589436
C,A,0.1576411
A,B,1.7765372
C,B,0.1578279
A,C,5.8044123
B,C,3.058667
B,A,3.1694606
C,A,0.1565464
A,B,1.8163436
C,B,0.15584279999999998
A,C,4.631182599999999
B,C,3.1609533
B,A,3.0458375
C,A,0.1640777
A,B,1.773306
C,B,0.1616938
A,C,6.7905652000000005
B,C,3.0290428
B,A,3.0329895000000002
C,A,0.1555818
A,B,1.7712023
C,B,0.1546874
A,C,5.3341807
B,C,3.0931922999999997
B,A,3.0292053
C,A,0.1561554
A,B,1.7726477999999999
C,B,0.1531705
A,C,11.467818800000002
B,C,3.1658812999999997
B,A,3.0709823
C,A,0.15545060000000002
A,B,1.7976131000000002
C,B,0.15454400000000001
A,C,13.709640900000002
B,C,3.1653617
B,A,3.0994334
C,A,0.1562419
A,B,1.7710358
C,B,0.1531879
A,C,8.464336300000001
B,C,3.1318992999999997
B,A,3.1078159
C,A,0.1564345
A,B,1.7719794999999998
C,B,0.157172
A,C,9.8913807
B,C,3.1237159
B,A,3.0597222
C,A,0.15635870000000002
A,B,1.8371668999999997
C,B,0.1583952
A,C,6.1461544
B,C,3.1403991
B,A,3.1337944
C,A,0.1562451
A,B,1.7975120999999998
C,B,0.15425260000000002
A,C,17.4245947
B,C,3.0289575
B,A,3.0732487
C,A,0.156083
A,B,1.8326976000000001
C,B,0.1522026
A,C,12.8179306
B,C,3.0663872000000003
B,A,3.0444417
C,A,0.1562652
A,B,1.7765441000000002
C,B,0.1539368
A,C,9.3670233
B,C,3.1209909
B,A,3.0325104
C,A,0.15596329999999997
A,B,1.7718802
C,B,0.15402520000000003
A,C,12.6839046
B,C,3.1535490000000004
B,A,3.0447096
C,A,0.1601288
A,B,1.7945813
C,B,0.154244
A,C,9.7584528
B,C,3.1112768
B,A,3.0371338
C,A,0.1592575
A,B,1.7735714
C,B,0.1521346
A,C,24.3024242
B,C,3.1408737999999996
B,A,3.0408624
C,A,0.15685610000000003
A,B,1.8231753000000002
C,B,0.15722750000000002
A,C,11.3366024
B,C,3.123553
B,A,3.0392810000000003
C,A,0.155602
A,B,1.7959553
C,B,0.1549772
A,C,18.4060955
B,C,3.0490909
B,A,3.0849625
C,A,0.1556037
A,B,1.7751519
C,B,0.1522056
A,C,25.625315
B,C,3.197464
B,A,3.104727
C,A,0.156091
A,B,1.7994042000000001
C,B,0.1517474
A,C,24.0964155
B,C,3.1256502
B,A,3.109864
C,A,0.1572394
A,B,1.796923
C,B,0.15446849999999998
A,C,7.3511277
B,C,3.2030456000000003
B,A,3.1530082000000004
C,A,0.160934
A,B,1.8372583999999998
C,B,0.1579484
A,C,4.4857097
B,C,3.1386005
B,A,3.1917599
C,A,0.161364
A,B,1.7721275
C,B,0.1619122
A,C,4.3912282
B,C,3.1574348999999997
B,A,3.0573436000000003
C,A,0.15663310000000003
A,B,1.7965541
C,B,0.15735639999999998
A,C,4.759718299999999
B,C,3.1706738
B,A,3.1597605
C,A,0.1613491
A,B,1.8208956
C,B,0.1552787
A,C,3.9149056000000004
B,C,3.0740001
B,A,3.0497167999999997
C,A,0.1560733
A,B,1.8203497
C,B,0.1542194
A,C,4.2892721
B,C,3.1688516
B,A,9.190881
C,A,0.15229229999999996
A,B,1.7725372
C,B,0.1546847
A,C,4.604869
B,C,3.1068255000000002
B,A,3.0948418999999996
C,A,0.1617377
A,B,1.8102672999999998
C,B,0.15609479999999998
A,C,4.1084863
B,C,3.1508632999999997
B,A,3.0660392999999995
C,A,0.15590520000000002
A,B,1.8179949
C,B,0.1618011
A,C,4.1056074
B,C,3.0492517000000006
B,A,3.3973199999999997
C,A,0.1552312
A,B,1.7704964
C,B,0.15568529999999997
A,C,4.1888477
B,C,3.1011735000000002
B,A,3.0529587000000005
C,A,0.1556402
A,B,1.800129
C,B,0.1547343
A,C,5.2705833
B,C,4.5688244
B,A,3.1049624
C,A,0.16135239999999998
A,B,1.7979606
C,B,0.1553498
A,C,15.7065958
B,C,3.1262534
B,A,3.0501767999999996
C,A,0.155088
A,B,1.7937237
C,B,0.15509979999999998
A,C,6.3479273
B,C,3.2119853
B,A,3.1389742000000003
C,A,0.15828270000000003
A,B,1.8156265999999999
C,B,0.1526246
A,C,12.7512051
B,C,3.0532705
B,A,3.1259272
C,A,0.1572035
A,B,1.8214243000000003
C,B,0.152658
A,C,5.5003192
B,C,3.0423665
B,A,3.1141603
C,A,0.1545012
A,B,1.7944963
C,B,0.1529213
A,C,6.8545289
B,C,3.9642617
B,A,4.4030084
C,A,0.1577729
A,B,1.7946827
C,B,0.16066270000000002
A,C,6.146245700000001
B,C,3.0473082000000002
B,A,3.1211692
C,A,0.15749200000000002
A,B,1.8192401000000002
C,B,0.1576826
A,C,4.8102422
B,C,3.1140962000000005
B,A,3.0775874
C,A,0.15184
A,B,1.7961699
C,B,0.1562359
A,C,6.9536077999999995
B,C,3.1209582
B,A,3.0649318
C,A,0.15658370000000002
A,B,1.7952209
C,B,0.155797
A,C,10.864793400000002
B,C,3.1264453
B,A,3.156827
C,A,0.15585020000000002
A,B,1.7963706000000002
C,B,0.15767379999999998
A,C,6.358777099999999
B,C,3.2341676
B,A,3.1831973
C,A,0.1547945
A,B,1.7985933999999997
C,B,0.1557416
A,C,6.0823956
B,C,3.2774365
B,A,3.1212598999999996
C,A,0.15563410000000003
A,B,1.7735911
C,B,0.1617782
A,C,6.4676403
B,C,3.120082
B,A,3.2337036
C,A,0.1575703
A,B,1.7715248
C,B,0.15277639999999998
A,C,5.1186047
B,C,3.158445
B,A,3.1577718
C,A,0.1533339
A,B,1.8411764
C,B,0.15620770000000003
A,C,7.5600294
B,C,3.1730179
B,A,3.0493838
C,A,0.1525776
A,B,1.8026289
C,B,0.15809520000000002
A,C,28.639187
B,C,3.1103867999999997
B,A,3.0603189
C,A,0.1557504
A,B,1.7959043
C,B,0.155302
A,C,11.898487199999998
B,C,3.1573775
B,A,3.1451389
C,A,0.155273
A,B,1.7963857
C,B,0.1574792
A,C,13.1946146
B,C,3.1237997
B,A,3.1159386
C,A,0.1549341
A,B,1.7720639
C,B,0.1576908
A,C,20.3209896
B,C,3.1313161
B,A,3.1682808999999996
C,A,0.15381760000000003
A,B,1.7732451
C,B,0.157079
A,C,25.0805438
B,C,3.187222
B,A,3.0899552000000003
C,A,0.1533744
A,B,1.7752867
C,B,0.15692509999999998
A,C,10.9212193
B,C,3.0913180000000002
B,A,3.1105623
C,A,0.1546979
A,B,1.7730971
C,B,0.1552701
A,C,9.380466
B,C,4.7898695
B,A,3.1329968
C,A,0.1532572
A,B,1.7945702
C,B,0.1573562
