Point1,Point2,PredictedCost
A,B,2.7398366000000003
C,B,0.8172855
A,C,5.992177
B,C,27.14041
B,A,26.83189
C,A,0.52751824
A,B,2.7004048
C,B,0.86201355
A,C,6.0113862
B,C,27.26301
B,A,26.744914
C,A,0.63038096
A,B,2.7606182
C,B,0.8823544
A,C,5.9237614
B,C,26.862097
B,A,26.561844
C,A,0.52384064
A,B,2.5941797
C,B,0.7321328
A,C,5.7255305
B,C,26.924962
B,A,26.602674
C,A,0.5009435
A,B,2.5280073
C,B,0.64070225
A,C,5.7664
B,C,26.89156
B,A,26.559204
C,A,0.50654635
A,B,2.5065124
C,B,0.8545950000000001
A,C,5.874072
B,C,27.01261
B,A,26.585063
C,A,0.54207146
A,B,2.530684
C,B,0.5832173
A,C,5.75534
B,C,27.05112
B,A,26.57588
C,A,0.46974644
A,B,2.5136996
C,B,0.74884817
A,C,5.8245569999999995
B,C,26.940325
B,A,26.58877
C,A,0.50342083
A,B,2.53998
C,B,0.7942095
A,C,5.7444192
B,C,27.00721
B,A,26.576707
C,A,0.46258047
A,B,2.5146618
C,B,0.7730603
A,C,5.838269
B,C,26.994866
B,A,26.584232
C,A,0.4949674
A,B,2.537933
C,B,0.74873343
A,C,5.8401823
B,C,27.124809999999997
B,A,26.652023
C,A,0.4979253
A,B,2.5504023
C,B,0.70389137
A,C,5.812664
B,C,27.00721
B,A,26.606803999999997
C,A,0.5081795
A,B,2.5630064
C,B,0.7628656999999999
A,C,5.8483575
B,C,27.057105
B,A,26.67172
C,A,0.49018487
A,B,2.5202252
C,B,0.69432557
A,C,5.831416
B,C,27.16935
B,A,26.669365000000003
C,A,0.49605593
A,B,2.5630541
C,B,0.72158203
A,C,5.872596
B,C,27.126443
B,A,26.652396000000003
C,A,0.5228579
A,B,2.5745645
C,B,0.72340667
A,C,5.8313347
B,C,26.941377000000003
B,A,26.6064
C,A,0.5170837
A,B,2.5622003
C,B,0.73346794
A,C,5.8431365
B,C,26.944262
B,A,26.600015000000003
C,A,0.56893155
A,B,2.5726035
C,B,0.74734613
A,C,5.863362
B,C,26.957232
B,A,26.607043
C,A,0.5142032999999999
A,B,2.5775313
C,B,0.75291023
A,C,5.869614299999999
B,C,26.947117
B,A,26.60792
C,A,0.54956228
A,B,2.6006259
C,B,0.7169232
A,C,5.8689058
B,C,26.931745
B,A,26.625072999999997
C,A,0.5685188
A,B,2.5824845
C,B,0.7832721
A,C,5.8764506
B,C,26.939391999999998
B,A,26.618247999999998
C,A,0.9422734
A,B,2.5966194
C,B,0.75941384
A,C,5.875273
B,C,26.965952
B,A,26.614302
C,A,0.5408123
A,B,2.59725
C,B,0.7396288
A,C,5.876732
B,C,26.964354999999998
B,A,26.621437
C,A,0.6263703
A,B,2.6029747
C,B,0.77128485
A,C,5.8170997
B,C,26.89557
B,A,26.595768
C,A,0.5584985
A,B,2.607477
C,B,0.8302078000000002
A,C,5.8699377
B,C,26.895647999999998
B,A,26.64529
C,A,0.6075181
A,B,2.6114691
C,B,0.8183353
A,C,5.87325
B,C,26.871806
B,A,26.648313
C,A,0.55481195
A,B,2.6183389999999997
C,B,0.77124164
A,C,5.872318
B,C,27.048485999999997
B,A,26.691036999999998
C,A,0.5681984
A,B,2.6013833
C,B,0.74616447
A,C,5.870134999999999
B,C,26.951808000000003
B,A,26.700312
C,A,0.5220175
A,B,2.7515192
C,B,0.7482171
A,C,5.886185
B,C,27.04577
B,A,26.641440000000003
C,A,0.62520206
A,B,2.6454619999999998
C,B,0.75240955
A,C,5.884139
B,C,27.073187
B,A,26.65763
C,A,0.59315637
A,B,2.6351567
C,B,0.7956222
A,C,5.9093304
B,C,26.835167
B,A,26.666686
C,A,0.68427026
A,B,2.7271457
C,B,0.81110895
A,C,5.8686066
B,C,26.958364
B,A,26.694793
C,A,0.57365224
A,B,2.6231155
C,B,0.7881343
A,C,5.8894403
B,C,26.945536999999998
B,A,26.70191
C,A,0.5132012
A,B,2.641784
C,B,0.8037224
A,C,5.8898386
B,C,26.953238
B,A,26.715356
C,A,0.51675662
A,B,2.6222695
C,B,0.8184895000000001
A,C,5.8932975
B,C,27.078371999999998
B,A,26.748508
C,A,0.4935175
A,B,2.5962210999999997
C,B,0.8400746
A,C,5.9085544
B,C,26.989126
B,A,26.776093
C,A,0.47412068
A,B,2.6422642
C,B,0.76324344
A,C,5.9113644
B,C,27.026146999999998
B,A,26.801234
C,A,0.5545981
A,B,2.6539352
C,B,0.8294261999999999
A,C,5.8181033
B,C,27.03802
B,A,26.65679
C,A,0.63270926
A,B,2.5075272
C,B,0.786978
A,C,5.902024
B,C,27.10252
B,A,26.6863
C,A,0.5876191
A,B,2.5115825
C,B,0.7732831
A,C,5.891451
B,C,26.953894
B,A,26.720145
C,A,0.52498803
A,B,2.6184112
C,B,0.7938467
A,C,5.8706798
B,C,27.18088
B,A,26.713818
C,A,0.5364828
A,B,2.6656605
C,B,0.76152235
A,C,5.8927007
B,C,27.12779
B,A,26.790124
C,A,0.50645247
A,B,2.6164327
C,B,0.7918015
A,C,5.9284016
B,C,27.196267
B,A,26.695395
C,A,0.59330314
A,B,2.6810266
C,B,0.8096702
A,C,5.9127755
B,C,27.16272
B,A,26.79398
C,A,0.4619657999999999
A,B,2.6123405
C,B,0.79936385
A,C,5.930331
B,C,27.269235
B,A,26.739416
C,A,0.54953396
A,B,2.6562106
C,B,0.7716082
A,C,5.8730137
B,C,27.120103999999998
B,A,26.845986
C,A,0.5884543
A,B,2.6973646
C,B,0.78113973
A,C,5.92922
B,C,27.157009999999996
B,A,26.7079
C,A,0.59664994
A,B,2.6931837000000005
C,B,0.8323326999999999
A,C,5.918194
B,C,27.073365000000003
B,A,26.729095
C,A,0.6066099
A,B,2.6822686
C,B,0.7849619000000001
A,C,5.8901045
B,C,27.145404
B,A,26.81697
C,A,0.47462583
A,B,2.631446
C,B,0.5493343
A,C,5.689426
B,C,27.041006
B,A,26.526058
C,A,0.43790266
A,B,2.4519362
C,B,0.71026087
A,C,5.7646934
B,C,27.063346000000003
B,A,26.595002
C,A,0.44387057
A,B,2.419483
C,B,0.6525539
A,C,5.749318
B,C,26.9073
B,A,26.54311
C,A,0.43745264
A,B,2.4705790000000003
C,B,0.66467226
A,C,5.781437
B,C,26.822971999999996
B,A,26.53252
C,A,0.54281503
A,B,2.4812274
C,B,0.7741362
A,C,5.7796925
B,C,26.803827
B,A,26.54935
C,A,0.5487196
A,B,2.3650762
C,B,0.70650876
A,C,5.6997976999999995
B,C,26.789021
B,A,26.550418
C,A,0.5419611999999999
A,B,2.485497
C,B,0.70475787
A,C,5.7789378
B,C,26.789993
B,A,26.571012
C,A,0.4514277
A,B,2.5069319
C,B,0.7044278
A,C,5.8838047
B,C,26.812446
B,A,26.581484000000003
C,A,0.47805533
A,B,2.4850376
C,B,0.6927781
A,C,5.762738
B,C,26.844352
B,A,26.61646
C,A,0.4466146
A,B,2.4426587
C,B,0.6608255
A,C,5.767999
